sort_id,cluster_id,n_cached_windows,n_valid_dev_pairs,n_stable_pairs,n_failing_pairs,status,start_s,end_s,span_s,reference_end_s,failing_start_s,reference_missing_pct,failing_missing_pct,difference_pp,intervening_windows,dev_interval_index,source_rows,nominal_samples_in_four_fits,historical_samples_in_four_fits,fitted_window_duration_s,KSLabel,ContamPct,source_voltage_exists,template_file_exists
legacy_luke0804_v2v1_g0_imec0,311,126,37.0,8.0,6.0,qualifying_transition,7561.993409782659,7881.899892116565,319.90648233390584,7695.199004714223,7752.301683574058,0.7120243325369895,41.99988373358564,41.28785940104865,1.0,5.0,"[11045, 11046, 11048, 11049]",4000.0,3996.0,262.75720321929657,mua,57.8,False,True
rescue_luke0804_v2v1_g0_imec0,692,236,75.0,13.0,28.0,qualifying_transition,7126.348928016455,7648.182747665789,521.8338196493341,7219.405470110799,7553.122994619441,0.33805266375951426,27.275029950078274,26.936977286318758,9.0,5.0,"[25181, 25182, 25192, 25193]",4000.0,3996.0,187.74932646772504,mua,58.0,True,True
rescue_luke0804_v2v1_g0_imec0,681,115,57.0,13.0,16.0,qualifying_transition,6667.558753040881,6738.599574770339,71.040821729458,6694.434399976078,6710.110785682399,2.419948267184838,33.31531880414096,30.89537053695612,1.0,5.0,"[24264, 24265, 24267, 24268]",4000.0,3996.0,55.356069310726525,mua,58.9,True,True
rescue_luke0804_v2v1_g0_imec0,650,458,113.0,6.0,67.0,qualifying_transition,3869.6306894732256,3950.405264419298,80.77457494607233,3911.787053284866,3911.808220067256,0.16087482568182065,32.507096340849,32.34622151516718,0.0,3.0,"[20979, 20980, 20981, 20982]",4000.0,3996.0,80.72130798818444,mua,59.2,True,True
rescue_luke0804_v2v1_g0_imec0,637,273,81.0,8.0,12.0,qualifying_transition,5428.331077904917,5572.185297721572,143.85421981665513,5488.4982735191525,5488.527307011218,4.177323987757641,31.74171947806984,27.564395490312197,0.0,4.0,"[19761, 19762, 19763, 19764]",4000.0,3996.0,143.76368598835415,mua,59.2,True,True
legacy_luke0804_v2v1_g0_imec0,408,177,60.0,5.0,15.0,qualifying_transition,6727.733648697214,6995.259244653053,267.525595955839,6841.236469242622,6841.237869250275,2.3594944021424418,21.864875106392635,19.505380704250193,0.0,5.0,"[18646, 18647, 18648, 18649]",4000.0,3996.0,267.4922291067487,mua,59.6,False,True
rescue_luke0804_v2v1_g0_imec0,675,238,79.0,22.0,16.0,qualifying_transition,3999.108664025053,4070.228252851815,71.11958882676208,4037.622341254641,4037.641308025004,3.9196322007234663,15.41221243275605,11.492580232032584,0.0,3.0,"[23687, 23688, 23689, 23690]",4000.0,3996.0,71.06395518926593,mua,62.8,True,True
rescue_luke0804_v2v1_g0_imec0,656,344,110.0,12.0,40.0,qualifying_transition,4142.903550183984,4194.953534752937,52.04998456895282,4159.296073138921,4175.441128074229,3.096234161513637,40.11906021905426,37.02282605754063,2.0,3.0,"[21792, 21793, 21796, 21797]",4000.0,3996.0,35.881062836493584,mua,64.3,True,True
rescue_luke0804_v2v1_g0_imec0,639,343,81.0,6.0,21.0,qualifying_transition,6728.280385019679,6925.794231538895,197.5138465192158,6785.421030753752,6868.886853746815,3.588165698346879,28.02297550862172,24.434809810274842,3.0,5.0,"[20128, 20129, 20133, 20134]",4000.0,3996.0,113.96465640370116,mua,65.7,True,True
rescue_luke0804_v2v1_g0_imec0,618,270,120.0,23.0,34.0,qualifying_transition,5995.604879318169,6114.905398227561,119.30051890939194,6023.423164740315,6075.170880990033,1.9638837341666382,17.277363497326785,15.313479763160148,3.0,5.0,"[18472, 18473, 18477, 18478]",4000.0,3996.0,67.52723585322747,mua,66.2,True,True
legacy_luke0804_v2v1_g0_imec0,491,319,65.0,1.0,34.0,qualifying_transition,3665.981276076154,3770.431213794084,104.44993771793042,3725.371300774754,3725.399200927291,3.810420778793457,27.0412491232266,23.230828344433142,0.0,3.0,"[23364, 23365, 23366, 23367]",4000.0,3996.0,104.4044374691698,mua,66.7,False,True
legacy_luke0804_v2v1_g0_imec0,416,271,88.0,23.0,41.0,qualifying_transition,7166.014444876742,7319.992853377943,153.97840850120065,7258.900019369701,7258.95268632431,3.810303914483778,24.973306001421044,21.163002086937265,0.0,5.0,"[19212, 19213, 19214, 19215]",4000.0,3996.0,153.90627477349608,mua,67.0,False,True
legacy_luke0804_v2v1_g0_imec0,395,185,42.0,1.0,21.0,qualifying_transition,489.617476848688,701.8822040142813,212.26472716559334,545.0836134278447,626.9502943447055,2.536364881349594,40.783341201806124,38.24697632045653,3.0,0.0,"[18064, 18065, 18069, 18070]",4000.0,3996.0,130.26537885674344,mua,68.0,False,True
legacy_luke0804_v2v1_g0_imec0,358,208,113.0,4.0,33.0,qualifying_transition,6445.011869660431,6856.389252086287,411.377382425856,6623.034976286063,6776.889317442294,2.151461890371389,17.854980580303994,15.703518689932606,3.0,5.0,"[14630, 14631, 14635, 14636]",4000.0,3996.0,257.44044081802986,mua,68.2,False,True
